date,title,amount
2026-03-31,Uber Uber *Trip Help.U,7.91
2026-03-31,Uber* Trip,7.90
2026-03-31,Pagamento recebido,-30.00
2026-03-26,Uniao Comercio de Comb,50.00
2026-03-25,Uber Uber *Trip Help.U,7.91
2026-03-25,Uber* Trip,7.91
2026-03-24,Uber* Trip,8.91
2026-03-24,Uber Uber *Trip Help.U,7.91
2026-03-23,Mercadolivre*2produto,48.90
2026-03-21,Uber Uber *Trip Help.U,7.90
2026-03-21,Sopa Caseirinha,26.93
2026-03-21,Uber* Trip,6.91
2026-03-20,Mercadinho Sao Luiz,70.98
2026-03-20,Pague Menos,27.01
2026-03-20,Mercadinho Sao Luiz,2.49
2026-03-19,Uber Uber *Trip Help.U,6.34
2026-03-19,Uber Uber *Trip Help.U,5.59
2026-03-18,Uber Uber *Trip Help.U,6.34
2026-03-18,Dl *Uberrides,6.33
2026-03-17,Uber* Trip,6.35
2026-03-17,Uber Uber *Trip Help.U,6.39
2026-03-17,Mercadinho Sao Luiz,24.90
2026-03-16,Mercadinho Sao Luiz,80.59
2026-03-14,Mercadinho Sao Luiz,6.88
2026-03-14,Uber* Trip,6.91
2026-03-13,Uber* Trip,7.92
2026-03-13,Uber Uber *Trip Help.U,7.96
2026-03-13,Mercadinho Sao Luiz,103.41
2026-03-13,Uber* Trip,7.91
2026-03-12,Dl *Uberrides,7.90
2026-03-12,Uber Uber *Trip Help.U,7.91
2026-03-12,Uber Uber *Trip Help.U,7.90
2026-03-11,Uber* Trip,7.91
2026-03-11,Flexpag *Enelce,233.00
2026-03-11,Mercadinho Sao Luiz,44.29
2026-03-11,Link Uniao*Fat,89.90
2026-03-11,Unimed de Fortaleza,273.31
2026-03-11,Jc Comercio de Aliment,26.73
2026-03-10,Multa por fatura atrasada,26.08
2026-03-10,IOF por fatura atrasada,5.06
2026-03-10,Uber* Trip,6.92
2026-03-10,Pagamento recebido,-1299.50
2026-03-09,Valor pendente do mês anterior,1299.50
2026-03-09,Estac I*Estacionament,12.00
2026-03-09,Uber Uber *Trip Help.U,28.96
2026-03-08,Pagamento recebido,-50.00
2026-03-07,Uber* Trip,16.94
2026-03-06,Uber* Trip,7.91
2026-03-05,Uber Uber *Trip Help.U,7.91
2026-03-05,Uber Uber *Trip Help.U,8.92
2026-03-04,Pagamento recebido,-50.00
2026-03-04,Uber Uber *Trip Help.U,7.92
2026-03-04,Uber Uber *Trip Help.U,7.99
2026-03-03,Uber Uber *Trip Help.U,5.94
2026-03-02,Uber Uber *Trip Help.U,4.91
2026-03-02,Uber* Trip,7.91
2026-03-01,Mercadolivre*2produto - Parcela 3/10,57.89
2026-03-01,Shopee*Proxys Comercio - Parcela 3/3,129.02
2026-03-01,Mercadinho Sao Luiz,6.98
2026-03-01,Mercadolivre*Mercadoli - Parcela 3/3,116.63
2026-03-01,Mercado*Mercadolivre - Parcela 3/3,188.29
2026-03-01,Unimed de Fortaleza,258.43
